tradeDate,filedDate,ticker,company,sector,side,amountMin,amountMax,description,matchRatio,rowNumber,sourceFile
2026-04-20,2026-07-01,BSX,Boston Scientific,Healthcare,SELL,100001,250000,BOSTON SCIENTIFIC CORP,1.0,290,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-20,2026-07-01,BMY,Bristol Myers Squibb,Healthcare,SELL,15001,50000,BRISTOL MYERS SQUIBB CO,1.0,296,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,AVGO,Broadcom,Technology,BUY,50001,100000,BROADCOMINC,1.0,299,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,CDNS,Cadence Design,Technology,BUY,100001,250000,CADENCE DESIGN SYSTEMS INC,1.0,316,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-13,2026-07-01,CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,BUY,15001,50000,CATALYST PHARMACEUTICALS,1.0,330,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-30,2026-07-01,CERT,"Certara, Inc.",Healthcare,SELL,1001,15000,CERTARAINC,1.0,342,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,CRL,"Charles River Laboratories International, Inc.",Healthcare,SELL,15001,50000,CHARLES RIVER LABORATORIES,1.0,344,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-30,2026-07-01,CPK,Chesapeake Utilities,Utilities,SELL,1001,15000,CHESAPEAKE UTILS CORP,1.0,348,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,CVX,Chevron,Energy,BUY,15001,50000,CHEVRON CORP '~,1.0,349,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,CVX,Chevron,Energy,BUY,1001,15000,CHEVRON CORP NEW,0.88,350,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,CVX,Chevron,Energy,SELL,50001,100000,CHEVRON CORPORATION,1.0,351,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,CHD,Church & Dwight,Consumer Staples,BUY,15001,50000,CHURCH & DWIGHT CO INC,0.938,356,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,CTAS,Cintas Corporation,Industrials,BUY,50001,100000,CINTAS CORP ..,1.0,365,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-28,2026-07-01,CTAS,Cintas Corporation,Industrials,SELL,1001,15000,CINTAS CORP,1.0,366,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,CTAS,Cintas Corporation,Industrials,SELL,1001,15000,CINTAS CORP,1.0,367,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-20,2026-07-01,CTAS,Cintas Corporation,Industrials,SELL,15001,50000,CINTAS CORP,1.0,368,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,CSCO,Cisco Systems,Technology,BUY,15001,50000,CISCO SYSTEMS INC,1.0,370,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,CSCO,Cisco Systems,Technology,SELL,1001,15000,CISCO SYSTEMS INC,1.0,371,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-20,2026-07-01,CLX,The Clorox Company,Consumer Staples,SELL,50001,100000,CLOROX CO,1.0,375,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,CLX,The Clorox Company,Consumer Staples,BUY,15001,50000,CLOROX CO N,0.941,376,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,CLX,The Clorox Company,Consumer Staples,SELL,15001,50000,CLOROX CO,1.0,377,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,CME,CME Group,Financials,BUY,100001,250000,CME GROUP INC,1.0,380,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,CMS,CMS Energy Corporation,Utilities,BUY,1001,15000,CMS ENERGY CORP,1.0,383,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,CMS,CMS Energy Corporation,Utilities,SELL,1001,15000,CMS ENERGY CORP,1.0,384,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,CMS,CMS Energy Corporation,Utilities,SELL,15001,50000,CMS ENERGY CORP,1.0,385,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,KO,Coca-Cola,Consumer Staples,BUY,100001,250000,COCA COLA CO COM ..,0.87,386,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,KO,Coca-Cola,Consumer Staples,SELL,1001,15000,COCA COLA COMPANY ITHEI,0.857,387,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,CTSH,Cognizant Technology,Technology,SELL,1001,15000,COGNIZANT TECHNOLOGY SOL CLASS Cl.ASS A,0.918,390,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,CTSH,Cognizant Technology,Technology,SELL,100001,250000,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1.0,392,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,CTSH,Cognizant Technology,Technology,BUY,15001,50000,COGNIZANT TECHNOLOGY SOLUTIONS CORP CL A,0.955,393,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-20,2026-07-01,COHR,Coherent Corp.,Technology,SELL,15001,50000,COHERENT CORP,1.0,396,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,COIN,Coinbase,Financials,SELL,1001,15000,COINBASE GLOBAL INC,1.0,398,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,CL,Colgate-Palmolive Company,Consumer Staples,BUY,1001,15000,COLGATE PALMOLIVE CO,1.0,400,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,CL,Colgate-Palmolive Company,Consumer Staples,SELL,1001,15000,COLGATE PALMOLIVE COMPANY,1.0,403,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-30,2026-07-01,CNMD,CONMED Corporation,Healthcare,SELL,15001,50000,CONMEDCORP,1.0,411,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,COP,ConocoPhillips,Energy,BUY,15001,50000,CONOCOPHILLIPS,1.0,412,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,COP,ConocoPhillips,Energy,SELL,1001,15000,CONOCOPHILLIPS,1.0,413,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,ED,Consolidated Edison,Utilities,BUY,15001,50000,CONSOLIDATED EDISON INC,1.0,414,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,ED,Consolidated Edison,Utilities,BUY,1001,15000,CONSOLIDATED EDISON INC,1.0,415,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,STZ,Constellation Brands,Consumer Staples,BUY,15001,50000,CONSTELLATION BRANDS INC,1.0,416,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,CEG,Constellation Energy,Utilities,BUY,15001,50000,CONSTELLATION ENERGY CORPORATION,0.868,421,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,COO,Cooper Companies,Healthcare,SELL,1001,15000,COOPER COMPANIES INC,1.0,422,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-28,2026-07-01,COO,Cooper Companies,Healthcare,SELL,1001,15000,COOPER COS INC,1.0,423,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-13,2026-07-01,CXW,"CoreCivic, Inc.",Industrials,BUY,15001,50000,CORECIVIC INC,1.0,430,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-07,2026-07-01,CRWV,"CoreWeave, Inc.",Technology,SELL,1001,15000,COREWEAVE INC Cl A,0.889,431,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,CSGP,CoStar Group,Real Estate,SELL,1001,15000,COSTAR GROUP INC,1.0,433,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-20,2026-07-01,CSGP,CoStar Group,Real Estate,SELL,50001,100000,COSTAR GROUP INC,1.0,434,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,COST,Costco,Consumer Staples,BUY,15001,50000,COSTCO WHOLESALE CORP,1.0,435,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,COST,Costco,Consumer Staples,SELL,1001,15000,COSTCO WHOLESALE CORP,1.0,436,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,CTRA,Coterra Energy,Energy,SELL,1001,15000,COTERRAENERGYINC,1.0,438,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-07,2026-07-01,CRDO,Credo Technology Group Holding Ltd,Technology,SELL,1001,15000,CREDO TECHNOLOGY GROUP HOLDING LTD,1.0,441,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,CRH,CRH,Materials,SELL,1001,15000,CRH PUBLIC LIMITED COMPANY,0.878,443,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,CRWD,CrowdStrike,Technology,SELL,50001,100000,CROWDSTRIKE HLDGS INC Cl A,0.927,444,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-07,2026-07-01,CRWD,CrowdStrike,Technology,SELL,1001,15000,CROWDSTRJKE HOLDINGS INC CL A,0.894,445,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,CCI,Crown Castle,Real Estate,BUY,15001,50000,CROWN CASTLE INC,1.0,446,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-30,2026-07-01,CSGS,"CSG Systems International, Inc.",Technology,SELL,15001,50000,CSG SYS INTL INC,1.0,448,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,CSX,CSX Corporation,Industrials,BUY,1001,15000,CSX CORPORATION,1.0,450,Donald-J-Trump-06.25.2026-278T.pdf
